Chemical,Endpoint Value,Endpoint Description,Sex,Life Cycle Stage,Location,Sample Size,Tox Exposure,Toxicity Endpoint Type,Tox Exposure Duration,Tox Exposure Technique,Type,Endpoint Value_numeric,Tox Exposure Duration_minutes
CHROMIUM (elemental),161 ± 46.0 ppb,"Skin concentration, dead-captured",NR,NR,Pine Barrens,20.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,161.0,NR
MERCURY (elemental),41.5 ± 7.1 ppb,"Skin concentration, dead-captured",NR,NR,Pine Barrens,20.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,41.5,NR
LEAD (elemental),172 ± 57.0 ppb,"Skin concentration, dead-captured",NR,NR,Pine Barrens,20.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,172.0,NR
SELENIUM (elemental),182 ± 35.8 ppb,"Skin concentration, dead-captured",NR,NR,Pine Barrens,20.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,182.0,NR
ARSENIC (elemental),145 ± 47.3 ppb,"Heart concentration, dead-captured",NR,NR,Pine Barrens,15.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,145.0,NR
CADMIUM (elemental),51.0 ± 28.4 ppb,"Heart concentration, dead-captured",NR,NR,Pine Barrens,15.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,51.0,NR
CHROMIUM (elemental),72.9 ± 32.1 ppb,"Heart concentration, dead-captured",NR,NR,Pine Barrens,15.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,72.9,NR
MERCURY (elemental),41.3 ± 9.5 ppb,"Heart concentration, dead-captured",NR,NR,Pine Barrens,15.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,41.3,NR
LEAD (elemental),86.7 ± 23.3 ppb,"Heart concentration, dead-captured",NR,NR,Pine Barrens,15.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,86.7,NR
SELENIUM (elemental),305 ± 68.8 ppb,"Heart concentration, dead-captured",NR,NR,Pine Barrens,15.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,305.0,NR
MALATHION,See citation Figure 1,"Mean max sprint velocity, m/s",NR,Juvenile,Savannah River Ecology Laboratory,10.0,"0, 0.2, 2.0, 20, 200 mg/kg",TOX-Non-Repro-Sublethal - behavioral effects,Single dose,Oral gavage,Toxicity Factor Datasets,1.0,NR
LEAD ACETATE,See citation Figure 2,"Mean max sprint velocity, m/s",NR,Juvenile,Savannah River Ecology Laboratory,10.0,"0, 1.0, 10, 100, 1000 mg/kg",TOX-Non-Repro-Sublethal - behavioral effects,Single dose,Oral gavage,Toxicity Factor Datasets,2.0,NR
"2,4,6-TRINITROTOLUENE",1038 mg/kg [332-2360 (95% CI)],LD50,F,Adult,NR,30.0,"0, 200-5000 mg/kg",TOX-MORT - toxicity benchmarks,Single dose,Oral gavage,Toxicity Factor Datasets,1038.0,NR
"2,4,6-TRINITROTOLUENE",1579 mg/kg [593-3356 (95% CI)],LD50,M,Adult,NR,30.0,"0, 200-6300 mg/kg",TOX-MORT - toxicity benchmarks,Single dose,Oral gavage,Toxicity Factor Datasets,1579.0,NR
"2,4,6-TRINITROTOLUENE",Threshold dose 66-132 mg/kg/d; decrease,Days of survival,Both,Adult,NR,42.0,"0, 33, 66, 132, 263, 525, 1050 mg/kg/d",TOX-MORT - dose-response data,Daily doses through mortality,Oral gavage,Toxicity Factor Datasets,66.0,NR
"2-AMINO-4,6-DINITROTOLUENE",Decreased >5 mg/kg/d,Body weight change,M,Adult,NR,42.0,"0, 5, 15, 20, 25, 30 mg/kg/d",TOX-Non-Repro-Sublethal - whole animal,60 d,Oral gavage,Toxicity Factor Datasets,5.0,86400.0
"2-AMINO-4,6-DINITROTOLUENE",Threshold dose 5-15 mg/kg/d,Chromaturia/vent area staining,M,Adult,NR,42.0,"0, 5, 15, 20, 25, 30 mg/kg/d",TOX-Non-Repro-Sublethal - organ/system effects,60 d,Oral gavage,Toxicity Factor Datasets,5.0,86400.0
LEAD ACETATE,2000 mg/kg,Approximate LD50,M,Adult,US Army Center for Health Promotion and Preventive Medicine,9.0,"0, 100, 200, 500, 1000, 2000, 3000, 4000, 8000 mg/kg",TOX-MORT - toxicity benchmarks,Single dose,Oral gavage,Toxicity Factor Datasets,2000.0,NR
LEAD ACETATE,2000 mg/kg,Approximate LD50,F,Adult,US Army Center for Health Promotion and Preventive Medicine,9.0,"0, 100, 200, 500, 1000, 2000, 3000, 4000, 8000 mg/kg",TOX-MORT - toxicity benchmarks,Single dose,Oral gavage,Toxicity Factor Datasets,2000.0,NR
LEAD ACETATE,13 d,Days of survival,M,Adult,US Army Center for Health Promotion and Preventive Medicine,42.0,"0, 31.25, 62.50, 125, 250, 500, 1000 mg/kg/d",TOX-MORT - toxicity benchmarks,14 d,Oral gavage,Toxicity Factor Datasets,13.0,20160.0
LEAD ACETATE,11 d,Days of survival,F,Adult,US Army Center for Health Promotion and Preventive Medicine,42.0,"0, 31.25, 62.50, 125, 250, 500, 1000 mg/kg/d",TOX-MORT - toxicity benchmarks,14 d,Oral gavage,Toxicity Factor Datasets,11.0,20160.0
LEAD ACETATE,See citation Table 1,Hematological chemistry,M,Both Adults and Juveniles,US Army Center for Health Promotion and Preventive Medicine,42.0,"0, 1, 10, 20 mg/kg/d",TOX-Non-Repro-Sublethal - cellular/biochemical effects,14 d,Oral gavage,Toxicity Factor Datasets,1.0,20160.0
"2,4-DINITROTOLUENE",50 mg/kg,NOEC,M,Adult,US Army Center for Health Promotion and Preventive Medicine,42.0,"0, 6.25, 12.5, 25, 50, 100, 200 mg/kg/d",NR,14 d,NR,Toxicity Factor Datasets,50.0,20160.0
METHYLMERCURY,See citation Table 2,Immune responses,M,Adult,"Patuxent Wildlife
Research Center, Laurel",59.0,"0, 0.6, 3.9 µg/g food dry weight",TOX-Non-Repro-Sublethal - cellular/biochemical effects,13 w,Dietary,Toxicity Factor Datasets,2.0,131040.0
METHYLMERCURY,See citation Table 3,Hematological chemistry,M,Adult,"Patuxent Wildlife
Research Center, Laurel",59.0,"0, 0.6, 3.9 µg/g food dry weight",TOX-Non-Repro-Sublethal - cellular/biochemical effects,13 w,Dietary,Toxicity Factor Datasets,3.0,131040.0
METHYLMERCURY,See citation Table 1,Cum survivorship,Both,Nestling,"Patuxent Wildlife
Research Center, Laurel",154.0,"0, 0.6, 3.9 µg/g food dry weight",TOX-MORT - toxicity benchmarks,25 d,Dietary via parent regurgitation & self-feeding,Toxicity Factor Datasets,1.0,36000.0
METHYLMERCURY,See citation Table 4,Immune responses,Both,Nestling,"Patuxent Wildlife
Research Center, Laurel",154.0,"0, 0.6, 3.9 µg/g food dry weight",TOX-Non-Repro-Sublethal - cellular/biochemical effects,25 d,Dietary via parent regurgitation & self-feeding,Toxicity Factor Datasets,4.0,36000.0
METHYLMERCURY,See citation Table 5,Immune responses,Both,Nestling,"Patuxent Wildlife
Research Center, Laurel",154.0,"0, 0.6, 3.9 µg/g food dry weight",TOX-Non-Repro-Sublethal - cellular/biochemical effects,25 d,Dietary via parent regurgitation & self-feeding,Toxicity Factor Datasets,5.0,36000.0
PBDE MIXTURE,86.09 ± 8.40,"Nestling concentration, whole body",NR,Nestling,NR,12.0,Midway incubation: 1.5 ppm; Hatch through 29 d: 15.6 ng/g bird/day,TOX-EXP IND - accumulation,Midway through incubation; 0-29 d post hatch,In ovo; oral gavage,Toxicity Factor Datasets,86.09,NR
"PBDE TECHNICAL MIXTURE, DE-71",288.60 ± 33.35 ng/g,Egg concentrations,NR,Embryo,"Avian Science and Conservation Centre of
McGill University",17.0,In ovo 1.6 ppm  per day parent diet,TOX-EXP IND - accumulation,3 w before pairing through 75 d incubation,In ovo,Toxicity Factor Datasets,288.6,30240.0
"PBDE TECHNICAL MIXTURE, DE-71",1130.59 ± 95.34 ng/g,Egg concentrations,NR,Embryo,"Avian Science and Conservation Centre of
McGill University",16.0,In ovo 0.3 ppm  per day parent diet,TOX-EXP IND - accumulation,3 w before pairing through 75 d incubation,In ovo,Toxicity Factor Datasets,1130.59,30240.0
BUPRENORPHINE HYDROCHLORIDE,0.948,Bioavailability,Both,Adult,NR,13.0,0.6 mg/kg,TOX-Non-Repro-Sublethal - cellular/biochemical effects,2 doses,IM injection followed by IV 2 w later,Toxicity Factor Datasets,0.948,NR
BUPRENORPHINE HYDROCHLORIDE,92.1 m,Half-life (IM),Both,Adult,NR,13.0,0.6 mg/kg,TOX-Non-Repro-Sublethal - cellular/biochemical effects,2 doses,IM injection followed by IV 2 w later,Toxicity Factor Datasets,92.1,NR
BUPRENORPHINE HYDROCHLORIDE,105.5 m,Half-life (IV),Both,Adult,NR,13.0,0.6 mg/kg,TOX-Non-Repro-Sublethal - cellular/biochemical effects,2 doses,IM injection followed by IV 2 w later,Toxicity Factor Datasets,105.5,NR
BUPRENORPHINE HYDROCHLORIDE,15-30 m,"Sedation set-in, mild-moderate",Both,Adult,NR,13.0,0.6 mg/kg,TOX-Non-Repro-Sublethal - whole animal,2 doses,IM injection followed by IV 2 w later,Toxicity Factor Datasets,15.0,NR
HYDROMORPHONE HYDROCHLORIDE,112.1 mg/mL at 5 m post dose,Plasma concentration,Both,Adult,NR,12.0,0.6 mg/kg,TOX-EXP IND - accumulation,2 doses,IM injection followed by IV 1 m later,Toxicity Factor Datasets,112.1,NR
HYDROMORPHONE HYDROCHLORIDE,1.26 h,Half-life (IM),Both,Adult,NR,12.0,0.6 mg/kg,TOX-Non-Repro-Sublethal - cellular/biochemical effects,2 doses,IM injection followed by IV 1 m later,Toxicity Factor Datasets,1.26,NR
HYDROMORPHONE HYDROCHLORIDE,1.25 h,Half-life (IV),Both,Adult,NR,12.0,0.6 mg/kg,TOX-Non-Repro-Sublethal - cellular/biochemical effects,2 doses,IM injection followed by IV 1 m later,Toxicity Factor Datasets,1.25,NR
"2,2',3,3',4,4',5,5',6,6'-DECABROMODIPHENYL ETHER (BDE-209)",6377 ng/g ww,Fat concentration,Both,Adult,NR,34.0,116 µg/d,TOX-EXP IND - accumulation,21 d,Dietary,Toxicity Factor Datasets,6377.0,30240.0
"2,2',3,3',4,4',5,5',6,6'-DECABROMODIPHENYL ETHER (BDE-209)",384 ng/g ww,Liver concentration,Both,Adult,NR,34.0,116 µg/d,TOX-EXP IND - accumulation,21 d,Dietary,Toxicity Factor Datasets,384.0,30240.0
"2,2',3,3',4,4',5,5',6,6'-DECABROMODIPHENYL ETHER (BDE-209)",1583 ng/g ww,Plasma concentration,Both,Adult,NR,34.0,116 µg/d,TOX-Non-Repro-Sublethal - cellular/biochemical effects,21 d,Dietary,Toxicity Factor Datasets,1583.0,30240.0
"2,2',3,3',4,4',5,5',6,6'-DECABROMODIPHENYL ETHER (BDE-209)",194 ng/g ww,Plasma concentration,Both,Adult,NR,34.0,116 µg/d,TOX-Non-Repro-Sublethal - cellular/biochemical effects,21 d,Dietary,Toxicity Factor Datasets,194.0,30240.0
"2,2',3,3',4,4',5,5',6,6'-DECABROMODIPHENYL ETHER (BDE-209)",14 d,Half-life,Both,Adult,NR,34.0,116 µg/d,TOX-Non-Repro-Sublethal - cellular/biochemical effects,21 d,Dietary,Toxicity Factor Datasets,14.0,30240.0
PCB,5.4-31.5 ppm ww,Plasma concentration,M,Adult,Avian Science and Conservation Centre of McGill University,18.0,10 mg/kg body weight/d,TOX-Non-Repro-Sublethal - cellular/biochemical effects,NR,NR,Toxicity Factor Datasets,5.4,NR
DIPHACINONE,See citation Table 1,Necroscopic/histological observations,Both,Adult,"Patuxent Wildlife
Research Center",23.0,"35.1 to
675 mg/kg",TOX-MORT - dose-response data,7 d,Oral capsules; divided doses,Toxicity Factor Datasets,1.0,10080.0
"PBDE TECHNICAL MIXTURE, DE-71",0.969,Survival to 90% incubation,NR,Embryo,"Patuxent Wildlife
Research Center",70.0,"0, 20 µg/g",TOX-REPRO - reproductive success,Single dose,In ovo,Toxicity Factor Datasets,0.969,NR
"PBDE TECHNICAL MIXTURE, DE-71",0.938,Pipped egg,NR,Embryo,"Patuxent Wildlife
Research Center",70.0,"0, 20 µg/g",TOX-REPRO - reproductive success,Single dose,In ovo,Toxicity Factor Datasets,0.938,NR
"PBDE TECHNICAL MIXTURE, DE-71",0.875,Hatching success,NR,Embryo,"Patuxent Wildlife
Research Center",70.0,"0, 20 µg/g",TOX-REPRO - reproductive success,Single dose,In ovo,Toxicity Factor Datasets,0.875,NR
"PBDE TECHNICAL MIXTURE, DE-71",See citation Table 1,Retinol,F,Adult,NR,64.0,"0, 0.3, 1.6 ng/g/d ww",TOX-EXP IND - accumulation,21 d prior to pairing through hatch (~75 d),Dietary,Toxicity Factor Datasets,1.0,30240.0
"PBDE TECHNICAL MIXTURE, DE-71",See citation Table 1,Retinol,NR,Nestling,NR,64.0,"In ovo via maternal transfer 0, 0.3, 1.6 ng/g/d ww",TOX-EXP IND - accumulation,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,1.0,NR
HDBP (halogenated dimethyl bipyrroles),33 ± 3 ng/g,Egg concentration,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",14.0,0 µg/bird/day,TOX-EXP IND - accumulation,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,33.0,NR
HDBP (halogenated dimethyl bipyrroles),7.4 ± 0.7 ng/g,Carcass concentration,NR,Adult,"Avian Science and Conservation
Centre of McGill University",8.0,0 µg/bird/day,TOX-EXP IND - accumulation,Prior to pairing through 28 d post hatch,Dietary,Toxicity Factor Datasets,7.4,NR
HDBP (halogenated dimethyl bipyrroles),17 ± 1 ng/g,Egg concentration,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",8.0,0.13 µg/bird/day,TOX-EXP IND - accumulation,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,17.0,NR
HDBP (halogenated dimethyl bipyrroles),23 ± 2 ng/g,Carcass concentration,F,Adult,"Avian Science and Conservation
Centre of McGill University",12.0,0.13 µg/bird/day,TOX-EXP IND - accumulation,Prior to pairing through 28 d post hatch,Dietary,Toxicity Factor Datasets,23.0,NR
HDBP (halogenated dimethyl bipyrroles),43 ± 6 ng/g,Carcass concentration,M,Adult,"Avian Science and Conservation
Centre of McGill University",12.0,0.13 µg/bird/day,TOX-EXP IND - accumulation,Prior to pairing through 28 d post hatch,Dietary,Toxicity Factor Datasets,43.0,NR
HDBP (halogenated dimethyl bipyrroles),310 ± 20 ng/g,Egg concentration,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",16.0,4.3 µg/bird/day,TOX-EXP IND - accumulation,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,310.0,NR
HDBP (halogenated dimethyl bipyrroles),940 ±20 ng/g,Carcass concentration,NR,Adult,"Avian Science and Conservation
Centre of McGill University",17.0,4.3 µg/bird/day,TOX-EXP IND - accumulation,Prior to pairing through 28 d post hatch,Dietary,Toxicity Factor Datasets,940.0,NR
HDBP (halogenated dimethyl bipyrroles),"13,800 ± 400 ng/g",Egg concentration,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",7.0,140 µg/bird/day,TOX-EXP IND - accumulation,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,13.0,NR
HDBP (halogenated dimethyl bipyrroles),"7,600 ± 400 ng/g",Liver concentration,NR,Adult,"Avian Science and Conservation
Centre of McGill University",7.0,140 µg/bird/day,TOX-EXP IND - accumulation,Prior to pairing through 28 d post hatch,Dietary,Toxicity Factor Datasets,7.0,NR
HDBP (halogenated dimethyl bipyrroles),"1,600 ± 100 ng/g",Plasma concentration,NR,Adult,"Avian Science and Conservation
Centre of McGill University",32.0,140 µg/bird/day,TOX-EXP IND - accumulation,Prior to pairing through 28 d post hatch,Dietary,Toxicity Factor Datasets,1.0,NR
HDBP (halogenated dimethyl bipyrroles),15  ± 0.2 g,Egg mass,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",7.0,0 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,15.0,NR
HDBP (halogenated dimethyl bipyrroles),"14,160 ± 30 mm3",Egg volume,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",38.0,0 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,14.0,NR
HDBP (halogenated dimethyl bipyrroles),0.172 ± 0.002 mm,Egg shell thickness,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",10.0,0 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,0.172,NR
HDBP (halogenated dimethyl bipyrroles),4.8 ± 0.2 eggs,Clutch size,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",8.0,0 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,4.8,NR
HDBP (halogenated dimethyl bipyrroles),80 ± 5 %,% fertile eggs in clutch,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",8.0,0 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,80.0,NR
HDBP (halogenated dimethyl bipyrroles),11.6 ± 0.4 d,Laying lag of first egg,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",7.0,0 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,11.6,NR
HDBP (halogenated dimethyl bipyrroles),9.0 ± 0.1 d,Time to complete clutch,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",7.0,0 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,9.0,NR
HDBP (halogenated dimethyl bipyrroles),15.4 ± 0.1 g,Egg mass,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",8.0,0.13 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,15.4,NR
HDBP (halogenated dimethyl bipyrroles),11.8 ± 0.4 d,Laying lag of first egg,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",8.0,0.13 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,11.8,NR
HDBP (halogenated dimethyl bipyrroles),8.3 ± 0.1 d,Time to complete clutch,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",8.0,0.13 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,8.3,NR
HDBP (halogenated dimethyl bipyrroles),15.00 ± 0.08 g,Egg mass,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",8.0,4.3 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,15.0,NR
HDBP (halogenated dimethyl bipyrroles),"14,040 ± 20 mm3",Egg volume,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",43.0,4.3 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,14.0,NR
HDBP (halogenated dimethyl bipyrroles),0.173 ± 0.002 mm,Egg shell thickness,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",9.0,4.3 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,0.173,NR
HDBP (halogenated dimethyl bipyrroles),5.50 ± 0.09 eggs,Clutch size,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",8.0,4.3 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,5.5,NR
HDBP (halogenated dimethyl bipyrroles),79 ± 3 %,% fertile eggs in clutch,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",8.0,4.3 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,79.0,NR
HDBP (halogenated dimethyl bipyrroles),14.9 ± 0.7 d,Laying lag of first egg,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",8.0,4.3 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,14.9,NR
HDBP (halogenated dimethyl bipyrroles),10.0 ± 0.4 d,Time to complete clutch,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",8.0,4.3 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,10.0,NR
HDBP (halogenated dimethyl bipyrroles),15.2 ± 0.1 g,Egg mass,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",8.0,140 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,15.2,NR
HDBP (halogenated dimethyl bipyrroles),"14,370 ± 20 mm3",Egg volume,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",42.0,140 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,14.0,NR
HDBP (halogenated dimethyl bipyrroles),0.189 ± 0.001 mm,Egg shell thickness,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",14.0,140 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,0.189,NR
HDBP (halogenated dimethyl bipyrroles),5.38 ± 0.06 eggs,Clutch size,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",8.0,140 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,5.38,NR
HDBP (halogenated dimethyl bipyrroles),60 ± 5 %,% fertile eggs in clutch,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",8.0,140 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,60.0,NR
HDBP (halogenated dimethyl bipyrroles),15 ± 1 d,Laying lag of first egg,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",8.0,140 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,15.0,NR
HDBP (halogenated dimethyl bipyrroles),10.1 ± 0.2 d,Time to complete clutch,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",8.0,140 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,10.1,NR
CADMIUM (elemental),0.09 µg/g ww ± 0.20,Egg concentration,NR,Embryo,Sinaloa Coast,63.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.09,NR
MERCURY (elemental),0.42 µg/g ww ± 0.63,Egg concentration,NR,Embryo,Sinaloa Coast,63.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.42,NR
METHYLMERCURY,0.89 µg/g [0.56-1.52 (95% CI)],Embryonic LD50,NR,Embryo,Patuxent Wildlife Research Center,98.0,"0, 0.05, 0.1, 0.2, 0.4, 0.8, 1.6, 3.2, 6.4 µg/g ww",TOX-MORT - toxicity benchmarks,Single dose,In ovo injection,Toxicity Factor Datasets,0.89,NR
METHYLMERCURY,0.12 µg/g [0.08-0.19 (95% CI)],Embryonic LD50,NR,Embryo,Patuxent Wildlife Research Center,81.0,"0, 0.05, 0.1, 0.2, 0.4, 0.8, 1.6, 3.2, 6.4 µg/g ww",TOX-MORT - toxicity benchmarks,Single dose,In ovo injection,Toxicity Factor Datasets,0.12,NR
METHYLMERCURY,0.33 µg/g [0.15-0.73 (95% CI)],Embryonic LD50,NR,Embryo,Patuxent Wildlife Research Center,88.0,"0, 0.05, 0.1, 0.2, 0.4, 0.8, 1.6, 3.2, 6.4 µg/g ww",TOX-MORT - toxicity benchmarks,Single dose,In ovo injection,Toxicity Factor Datasets,0.33,NR
METHYLMERCURY,0.15 µg/g [0.05-0.31 (95% CI)],Embryonic LD50,NR,Embryo,Patuxent Wildlife Research Center,63.0,"0, 0.05, 0.1, 0.2, 0.4, 0.8, 1.6, 3.2, 6.4 µg/g ww",TOX-MORT - toxicity benchmarks,Single dose,In ovo injection,Toxicity Factor Datasets,0.15,NR
PERFLUOROOCTANE SULFONATE,"254, 533, 118 ng/g",Liver concentration,NR,Not Reported,Various USA locations,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,254.0,NR
MERCURY (elemental),0.17 ppm ± 0.09,Egg concentration,NR,Embryo,"Pamlico Sound, Island MN",20.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.17,NR
MERCURY (elemental),0.34 ppm ± 0.21,Egg concentration,NR,Embryo,"Palmico Sound, DOT",7.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.34,NR
MERCURY (elemental),0.16 ppm ± 0.14,Egg concentration,NR,Embryo,"Palmico Sound, Beacon",21.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.16,NR
MERCURY (elemental),0..27 ppm ± 0.08,Egg concentration,NR,Embryo,"Palmico Sound, New Dump",4.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.0,NR
MERCURY (elemental),0.18 ppm ± 0.13,Egg concentration,NR,Embryo,"Cape Fear River, North Pelican",8.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.18,NR
MERCURY (elemental),0.14 ppm ± 0.17,Egg concentration,NR,Embryo,"Cape Fear River, Ferry Slip",24.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.14,NR
MERCURY (elemental),0.27 ppm ± 0.11,Egg concentration,NR,Embryo,"Cape Fear River, South Pelican",19.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.27,NR
MERCURY (elemental),0.98 ppm ± 0.23,Chick feathers,NR,Chick,"Pamlico Sound, Island MN",21.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.98,NR
MERCURY (elemental),1.19 ppm ± 0.42,Chick feathers,NR,Chick,"Palmico Sound, Beacon",22.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.19,NR
MERCURY (elemental),0.97 ppm ± 0.19,Chick feathers,NR,Chick,"Palmico Sound, New Dump",19.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.97,NR
MERCURY (elemental),1.82 ppm ± 1.66,Chick feathers,NR,Chick,"Cape Fear River, North Pelican",20.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.82,NR
MERCURY (elemental),1.03 ppm ± 0.11,Chick feathers,NR,Chick,"Cape Fear River, Ferry Slip",20.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.03,NR
MERCURY (elemental),0.86 ppm ± 0.18,Chick feathers,NR,Chick,"Cape Fear River, South Pelican",25.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.86,NR
PERFLUOROOCTANE SULFONATE,3.5 ng/g ww (1.3-11.4),Brain concentration,NR,Not Reported,Cartagena Bay,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,3.5,NR
PERFLUOROOCTANE SULFONATE,2.1 ng/g ww (1.7-6.9),Heart concentration,NR,Not Reported,Cartagena Bay,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,2.1,NR
